area_type,location,size,total_sqft,price,category,availability
Super built-up  Area,Horamavu Banaswadi,2 BHK,1460,8050000,Urban,Ready To Move
Super built-up  Area,Rachenahalli,3 BHK,1530,7450000,Urban,Ready To Move
Built-up  Area,HSR Layout,2 BHK,1467,5500000,Urban,Ready To Move
Super built-up  Area,KR Layout,1 BHK,950,4000000,Urban,Ready To Move
Super built-up  Area,Vittasandra,2 BHK,1246,6450000,Rural,19-Dec
Super built-up  Area,Kanakapura,1 BHK,711,3800000,Urban,Ready To Move
Super built-up  Area,Haralur Road,2 BHK,1194,4600000,Urban,Ready To Move
Super built-up  Area,Babusapalaya,3 BHK,1358,4340000,Rural,Ready To Move
Carpet  Area,Nagasandra,6 Bedroom,1500,13000000,Rural,Ready To Move
Super built-up  Area,Hoodi,2 BHK,1420,7500000,Rural,Ready To Move
Super built-up  Area,Kathriguppe,3 BHK,1250,6875000,Rural,Ready To Move
Built-up  Area,Akshaya Nagar,2 BHK,1280,5800000,Urban,Ready To Move
Super built-up  Area,Nagappa Reddy Layout,2 BHK,1209,5000000,Urban,Ready To Move
Built-up  Area,Kempapura,5 Bedroom,4200,22500000,Urban,Ready To Move
Plot  Area,BTM 1st Stage,4 Bedroom,1215,20500000,Rural,Ready To Move
Super built-up  Area,Panathur,3 BHK,1315,5480000,Rural,Ready To Move
Super built-up  Area,Kariyammana Agrahara,3 BHK,1800,9000000,Urban,Ready To Move
Built-up  Area,Hessarghatta,5 Bedroom,1600,12500000,Rural,Ready To Move
Super built-up  Area,TC Palaya,3 BHK,1600,6500000,Rural,Ready To Move
Plot  Area,Binnamangala,6 Bedroom,3968,90000000,Rural,Ready To Move
Super built-up  Area,Suraksha Nagar,3 BHK,1563,5200000,Urban,Ready To Move
Super built-up  Area,Whitefield,3 BHK,1560,7200000,Urban,Ready To Move
Super built-up  Area,Brookefield,3 BHK,2169,11500000,Rural,Ready To Move
Plot  Area,Lakshmi Layout,9 Bedroom,900,17000000,Urban,Ready To Move
Super built-up  Area,Rachenahalli,2 BHK,1050,5550000,Urban,Ready To Move
Super built-up  Area,Iblur Village,3 BHK,3235,23500000,Rural,Ready To Move
Plot  Area,TC Palaya,3 Bedroom,1200,6600000,Rural,Ready To Move
Super built-up  Area,HSR Layout,2 BHK,1140,4600000,Urban,Ready To Move
Plot  Area,7th Phase JP Nagar,3 Bedroom,1500,17000000,Urban,Ready To Move
Super built-up  Area,Horamavu Agara,3 BHK,1560,7500000,Urban,Ready To Move
Super built-up  Area,JP Nagar,2 BHK,1100,7000000,Urban,Ready To Move
Super built-up  Area,Kasavanhalli,3 BHK,1260,4032000,Urban,18-Mar
Super built-up  Area,Hebbal,2 BHK,1036,5000000,Urban,Ready To Move
Built-up  Area,Akshaya Nagar,3 BHK,1662,8510000,Urban,Ready To Move
Super built-up  Area,Yelachenahalli,3 BHK,1464,10500000,Urban,Ready To Move
Super built-up  Area,Yelahanka,2 BHK,1234,8000000,Urban,Ready To Move
Super built-up  Area,Sarjapur  Road,3 BHK,1403,5500000,Urban,Ready To Move
Plot  Area,Kadugondanahalli,4 Bedroom,915,5490000,Urban,Ready To Move
Plot  Area,2nd Stage Nagarbhavi,6 Bedroom,3000,45100000,Urban,Ready To Move
Super built-up  Area,Seegehalli,3 BHK,1150,4290000,Urban,Ready To Move
Built-up  Area,Hebbal,4 BHK,3900,41000000,Urban,Ready To Move
Built-up  Area,Yeshwanthpur,5 Bedroom,850,9000000,Rural,18-Mar
Super built-up  Area,Kanakapura,2 BHK,929,4600000,Urban,Ready To Move
Plot  Area,2nd Stage Nagarbhavi,6 Bedroom,2400,45000000,Urban,Ready To Move
Plot  Area,TC Palaya,3 Bedroom,1350,7500000,Rural,Ready To Move
Super built-up  Area,Vasanthapura,2 BHK,1135,3973000,Urban,Ready To Move
Built-up  Area,Basava Nagar,2 BHK,1405,7000000,Urban,18-Sep
Plot  Area,Whitefield,2 Bedroom,1200,4584000,Urban,18-Apr
Super built-up  Area,Haralur Road,4 BHK,2805,15400000,Urban,Ready To Move
Super built-up  Area,Yeshwanthpur,2 BHK,1161,6408000,Rural,18-Dec
Super built-up  Area,Kanakpura Road,2 BHK,1290,7400000,Urban,Ready To Move
Super built-up  Area,Yeshwanthpur,3 BHK,2557,14100000,Rural,Ready To Move
Built-up  Area,2nd Block Hrbr Layout,3 BHK,1480,9000000,Urban,Ready To Move
Plot  Area,BTM 1st Stage,9 Bedroom,3300,50000000,Rural,20-Dec
Super built-up  Area,Old Madras Road,3 BHK,1350,5454000,Urban,Ready To Move
Super built-up  Area,Kadugodi,3 BHK,1580,6500000,Rural,17-Oct
Super built-up  Area,Banashankari,3 BHK,1470,8864000,Urban,18-Jun
Super built-up  Area,Ananth Nagar,1 BHK,500,1400000,Urban,18-Sep
Super built-up  Area,Sarjapur  Road,2 BHK,1346,6192000,Urban,Ready To Move
Super built-up  Area,Canara Bank Layout,3 BHK,1600,9000000,Urban,Ready To Move
Super built-up  Area,Naganathapura,2 BHK,720,12000000,Urban,19-Mar
Plot  Area,Narasapura,2 Bedroom,30Acres,2950000,Urban,Ready To Move
Plot  Area,Manjunath Nagar,4 Bedroom,1200,13500000,Urban,Ready To Move
Super built-up  Area,Basapura,2 BHK,1200,3500000,Urban,Ready To Move
Built-up  Area,Channasandra,3 BHK,1340,4833000,Rural,Ready To Move
Plot  Area,Devanahalli,4 Bedroom,6136,56000000,Urban,Ready To Move
Super built-up  Area,Jigani,2 BHK,918,4800000,Rural,Ready To Move
Plot  Area,Singena Agrahara,3 Bedroom,1500,11500000,Urban,Ready To Move
Super built-up  Area,Yelahanka,2 BHK,1315,8500000,Urban,Ready To Move
Plot  Area,Sector 1 HSR Layout,4 Bedroom,2400,77500000,Urban,Ready To Move
Super built-up  Area,Uttarahalli,3 BHK,1390,6255000,Urban,Ready To Move
Super built-up  Area,Uttarahalli,3 BHK,1330,5600000,Urban,Ready To Move
Built-up  Area,Jalahalli,5 BHK,3100,26500000,Urban,17-Dec
Super built-up  Area,Mango Garden Layout,3 BHK,1824,12500000,Urban,Ready To Move
Super built-up  Area,7th Phase JP Nagar,3 BHK,1420,9600000,Urban,Ready To Move
Plot  Area,Kacharakanahalli,1 Bedroom,750,5625000,Urban,Ready To Move
Super built-up  Area,Jalahalli East,3 BHK,1260,6000000,Urban,19-Sep
Super built-up  Area,Hennur Road,3 BHK,1561,9500000,Urban,Ready To Move
Plot  Area,5th Phase JP Nagar,9 Bedroom,812,16500000,Urban,Ready To Move
Super built-up  Area,"Bidere Agarahara, Behind Safal market",2 BHK,1060,4200000,Urban,Ready To Move
Plot  Area,Hoodi,8 Bedroom,1120,14500000,Rural,18-Jul
Super built-up  Area,Haralur Road,2 BHK,1225,6738000,Urban,Ready To Move
Super built-up  Area,Thanisandra,3 BHK,2144,13500000,Rural,Ready To Move
Plot  Area,Kengeri,7 Bedroom,1200,14000000,Rural,Ready To Move
Super built-up  Area,Electronic City,2 BHK,880,2900000,Urban,21-Dec
Super built-up  Area,Hoodi,3 BHK,1639,11000000,Rural,Ready To Move
Built-up  Area,Thanisandra,3 BHK,1240,6200000,Rural,Ready To Move
Super built-up  Area,Kanakpura Road,2 BHK,1500,6900000,Urban,Ready To Move
Super built-up  Area,Haralur Road,2 BHK,1243,4600000,Urban,Ready To Move
Super built-up  Area,Marathahalli,3 BHK,1575,7800000,Urban,Ready To Move
Super built-up  Area,Haralur Road,2 BHK,1027,4400000,Urban,Ready To Move
Super built-up  Area,Kambipura,3 BHK,1082,5600000,Urban,Ready To Move
Super built-up  Area,Konanakunte,3 BHK,1637,7300000,Rural,Ready To Move
Super built-up  Area,Kanakpura Road,3 BHK,1665,8658000,Urban,18-Dec
Super built-up  Area,Electronic City,2 BHK,1265,5693000,Urban,21-Dec
Super built-up  Area,Electronic City,3 BHK,1691,10200000,Urban,Ready To Move
Super built-up  Area,Thanisandra,2 BHK,1100,3800000,Rural,Ready To Move
Built-up  Area,Grihalakshmi Layout,5 Bedroom,24,15000000,Urban,19-Jan
Plot  Area,Gopalkrishna Nagar,3 Bedroom,1500,6200000,Urban,Ready To Move
Built-up  Area,Hosakerehalli,4 BHK,3205,38000000,Urban,Ready To Move
Built-up  Area,Kammanahalli,5 Bedroom,1666,15000000,Urban,Ready To Move
Super built-up  Area,Choodasandra,2 BHK,1115,5000000,Rural,Ready To Move
Super built-up  Area,Mysore Road,2 BHK,1070,4500000,Urban,Ready To Move
Super built-up  Area,Indira Nagar,2 BHK,1128,10500000,Urban,Ready To Move
Super built-up  Area,Budigere,2 BHK,1162,5700000,Rural,Ready To Move
Super built-up  Area,Sai Gardens,2 BHK,1339,5500000,Rural,Ready To Move
Super built-up  Area,Mahadevpura,2 BHK,1192,7500000,Urban,Ready To Move
Super built-up  Area,Haralur Road,3 BHK,1920,11500000,Urban,Ready To Move
Super built-up  Area,Hennur,2 BHK,1255,5232000,Rural,18-Apr
Super built-up  Area,Rajaji Nagar,2 BHK,1357,11500000,Urban,Ready To Move
Super built-up  Area,Dodda Kempaiah Layout,3 BHK,1600,7500000,Urban,Ready To Move
Super built-up  Area,Hanumanth Nagar,2 BHK,1225,5511000,Urban,Ready To Move
Plot  Area,Whitefield,4 Bedroom,2400,20000000,Urban,Ready To Move
Super built-up  Area,Kasturi Nagar,3 BHK,1570,8000000,Urban,Ready To Move
Super built-up  Area,Thanisandra,2 BHK,1093,7000000,Rural,Ready To Move
Built-up  Area,Basaveshwara Nagar,3 BHK,1865,14500000,Urban,Ready To Move
Plot  Area,R.T. Nagar,6 Bedroom,1200,16500000,Urban,Ready To Move
Super built-up  Area,Kaikondrahalli,2 BHK,1039,8000000,Urban,Ready To Move
Super built-up  Area,Vittasandra,2 BHK,1246,6450000,Rural,Ready To Move
Super built-up  Area,Whitefield,3 BHK,1985,7500000,Urban,Ready To Move
Super built-up  Area,Hosakerehalli,3 BHK,1590,4900000,Urban,Ready To Move
Plot  Area,Hunasamaranahalli,4 Bedroom,4000,67500000,Urban,Ready To Move
Super built-up  Area,Electronic City Phase II,2 BHK,775,3800000,Urban,Ready To Move
Super built-up  Area,RWF West Colony,2 BHK,1000,5000000,Urban,Ready To Move
Super built-up  Area,Hebbal Kempapura,3 BHK,1800,17500000,Urban,18-Jun
Super built-up  Area,Bommasandra,2 BHK,1035,4100000,Rural,Ready To Move
Super built-up  Area,Dasarahalli,3 BHK,1520,7500000,Urban,Ready To Move
Super built-up  Area,Whitefield,2 BHK,1360,9500000,Urban,Ready To Move
Plot  Area,Bileshivale,4 Bedroom,6000,40000000,Rural,Ready To Move
Super built-up  Area,Kodigehaali,2 BHK,1117,5600000,Rural,Ready To Move
Plot  Area,KR Puram,4 Bedroom,1200,12000000,Urban,Ready To Move
Super built-up  Area,EPIP Zone,2 BHK,1330,9250000,Rural,Ready To Move
Super built-up  Area,Marathahalli,3 BHK,1937,16000000,Urban,18-Aug
Super built-up  Area,Electronic City,2 BHK,1128,6549000,Urban,Ready To Move
Super built-up  Area,Neeladri Nagar,2 BHK,1053,4500000,Urban,18-May
Super built-up  Area,Panathur,2 BHK,1198,7700000,Rural,18-Apr
Super built-up  Area,Marathahalli,2 BHK,1152,5600000,Urban,17-Dec
Super built-up  Area,1st Block Jayanagar,6 BHK,1200,12500000,Urban,Ready To Move
Super built-up  Area,Frazer Town,2 BHK,1625,7500000,Urban,Ready To Move
Super built-up  Area,Kundalahalli,3 BHK,1397,10500000,Urban,Ready To Move
Super built-up  Area,Yeshwanthpur,3 BHK,1523,17000000,Rural,Ready To Move
Super built-up  Area,Kambipura,2 BHK,883,4500000,Urban,Ready To Move
Super built-up  Area,Kaggalipura,1 BHK,700,3800000,Urban,Ready To Move
Super built-up  Area,Yelahanka,2 BHK,1170,6250000,Urban,Ready To Move
Super built-up  Area,Kanakpura Road,3 BHK,1200,4200000,Urban,Ready To Move
Built-up  Area,Manayata Tech Park,3 BHK,2400,17000000,Rural,Ready To Move
Super built-up  Area,Kullappa Colony,2 BHK,1480,6500000,Urban,Ready To Move
Super built-up  Area,Akshaya Nagar,3 BHK,1897,12000000,Urban,Ready To Move
Super built-up  Area,Rachenahalli,2 BHK,996,6700000,Urban,18-May
Super built-up  Area,Haralur Road,3 BHK,1875,11000000,Urban,Ready To Move
Super built-up  Area,Williams Town,3 BHK,1500,9800000,Urban,Ready To Move
Super built-up  Area,Jaya Nagar East,3 BHK,3095,35000000,Urban,Ready To Move
Super built-up  Area,Ambalipura,3 BHK,1390,17500000,Urban,20-Dec
Super built-up  Area,Yelahanka,3 BHK,1445 - 1455,6525500,Urban,17-Nov
Super built-up  Area,Yelahanka,1 BHK,697,4500000,Urban,Ready To Move
Built-up  Area,Sarjapur  Road,1 BHK,710,2700000,Urban,Ready To Move
Carpet  Area,Iggalur,2 BHK,910,3050000,Rural,Ready To Move
Built-up  Area,Sompura,3 BHK,1025,4800000,Urban,18-Aug
Super built-up  Area,Magadi Road,2 BHK,884 - 1116,4650000,Urban,Ready To Move
Plot  Area,Harlur,4 Bedroom,1200,24400000,Rural,18-May
Super built-up  Area,Horamavu Agara,3 BHK,1453,4648000,Urban,Ready To Move
Super built-up  Area,Sarjapur  Road,4 BHK,3335,30000000,Urban,18-Mar
Super built-up  Area,Thanisandra,2 BHK,850 - 1093,3643500,Rural,Ready To Move
Super built-up  Area,Bellandur,2 BHK,1281,7400000,Urban,Ready To Move
Built-up  Area,Cooke Town,1 BHK,565,3500000,Urban,Ready To Move
Built-up  Area,Varthur,2 BHK,1024,4200000,Rural,Ready To Move
Built-up  Area,Electronic City,3 BHK,1620,6200000,Urban,Ready To Move
Super built-up  Area,Whitefield,2 BHK,1254,4000000,Urban,Ready To Move
Built-up  Area,Banashankari,3 BHK,1300,7500000,Urban,Ready To Move
Built-up  Area,Doddakallasandra,2 BHK,1233,4300000,Rural,Ready To Move
Plot  Area,Chokkanahalli,1 Bedroom,1200,2800000,Urban,18-Oct
Super built-up  Area,Hosur Road,3 BHK,1510,10500000,Urban,Ready To Move
Super built-up  Area,Kaggalipura,2 BHK,950,6500000,Urban,Ready To Move
Super built-up  Area,Battarahalli,3 BHK,1945,9742000,Urban,Ready To Move
Super built-up  Area,Uttarahalli,2 BHK,1008,4500000,Urban,Ready To Move
Super built-up  Area,Thanisandra,3 BHK,1265,7900000,Rural,19-Dec
Super built-up  Area,Hebbal,3 BHK,1255,7768000,Urban,18-Dec
Built-up  Area,Kanakpura Road,4 BHK,2689,22000000,Urban,Ready To Move
Built-up  Area,Yelenahalli,2 BHK,1200,4617000,Urban,19-Dec
Super built-up  Area,Sarjapur  Road,3 BHK,1403,5163000,Urban,Ready To Move
Super built-up  Area,Kudlu Gate,3 BHK,1535,8500000,Rural,Ready To Move
Plot  Area,Chikkaballapur,3 Bedroom,1500,10000000,Rural,Ready To Move
Super built-up  Area,Chamrajpet,3 BHK,1475,12000000,Urban,Ready To Move
Super built-up  Area,Uttarahalli,3 BHK,1390,6047000,Urban,Ready To Move
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1278,5376000,Urban,Ready To Move
Super built-up  Area,VGP Layout,2 BHK,1133,5500000,Urban,Ready To Move
Plot  Area,Classic Paradise Layout,5 Bedroom,1560,14500000,Urban,Ready To Move
Plot  Area,Byappanahalli,5 Bedroom,2900,9000000,Urban,Ready To Move
Super built-up  Area,Kogilu,2 BHK,1170,5199000,Rural,Ready To Move
Plot  Area,Sahakara Nagar,3 Bedroom,1200,20000000,Urban,18-Dec
Super built-up  Area,Whitefield,3 BHK,1697,9479000,Urban,Ready To Move
Super built-up  Area,Thanisandra,3 BHK,1651,9738000,Rural,Ready To Move
Super built-up  Area,Vasanth nagar,3 BHK,1560,18800000,Urban,17-Apr
Super built-up  Area,Hennur Road,3 BHK,1192,6000000,Urban,Ready To Move
Built-up  Area,OMBR Layout,2 BHK,1078,6500000,Urban,Ready To Move
Plot  Area,Kumaraswami Layout,7 Bedroom,800,10500000,Urban,Ready To Move
Super built-up  Area,Kasavanhalli,2 BHK,1349,7800000,Urban,Ready To Move
Plot  Area,Ulsoor,9 Bedroom,2300,21000000,Rural,Ready To Move
Super built-up  Area,7th Phase JP Nagar,3 BHK,1680,12000000,Urban,Ready To Move
Super built-up  Area,Rayasandra,3 BHK,1314,6300000,Rural,Ready To Move
Super built-up  Area,Garudachar Palya,2 BHK,1060,4870000,Urban,Ready To Move
Built-up  Area,Kalyan nagar,2 BHK,820,3900000,Urban,Ready To Move
Plot  Area,Whitefield,4 Bedroom,5000,40000000,Urban,Ready To Move
Super built-up  Area,BEML Layout,3 BHK,2000,8500000,Urban,Ready To Move
Super built-up  Area,Kalkere,2 BHK,856,4000000,Rural,18-Feb
Super built-up  Area,Rajaji Nagar,3 BHK,1621,13000000,Urban,18-Dec
Plot  Area,ITPL,3 Bedroom,1200,6840000,Urban,Ready To Move
Super built-up  Area,Bannerghatta Road,3 BHK,1484,5250000,Urban,Ready To Move
Plot  Area,T.C. Palya,4 Bedroom,600,6000000,Urban,Ready To Move
Plot  Area,Siddapura,4 Bedroom,14000,80000000,Urban,Ready To Move
Super built-up  Area,Yelahanka New Town,1 BHK,500,2000000,Urban,Ready To Move
Super built-up  Area,Makali,1 BHK,485,1500000,Rural,Ready To Move
Super built-up  Area,7th Phase JP Nagar,2 BHK,1050,4200000,Urban,Ready To Move
Super built-up  Area,Uttarahalli,3 BHK,1617,6668000,Urban,Ready To Move
Built-up  Area,Electronic City,2 BHK,550,1600000,Urban,Ready To Move
Built-up  Area,RWF West Colony,3 BHK,1384,6228000,Urban,18-Apr
Super built-up  Area,Devanahalli,2 BHK,1408,8500000,Urban,Ready To Move
Built-up  Area,Uttarahalli,2 BHK,1150,4900000,Urban,Ready To Move
Super built-up  Area,Akshaya Nagar,3 BHK,1410,7500000,Urban,Ready To Move
Built-up  Area,Kaggadasapura,4 BHK,2150,10000000,Urban,Ready To Move
Super built-up  Area,Koramangala,3 BHK,2292,27500000,Urban,Ready To Move
Built-up  Area,Malleshwaram,3 BHK,2006,29700000,Rural,Ready To Move
Built-up  Area,Maragondanahalli,3 BHK,1508,7025000,Urban,Ready To Move
Built-up  Area,Ramamurthy Nagar,2 BHK,1040,5000000,Urban,Ready To Move
Plot  Area,TC Palaya,2 Bedroom,1240,6000000,Urban,Ready To Move
Super built-up  Area,Kudlu Gate,3 BHK,1535,7800000,Urban,Ready To Move
Built-up  Area,Lakshminarayana Pura,2 BHK,1180,7500000,Urban,Ready To Move
Built-up  Area,Abbigere,6 Bedroom,2200,6800000,Urban,Ready To Move
Super built-up  Area,Bannerghatta Road,2 BHK,1400,7800000,Urban,Ready To Move
Super built-up  Area,Raja Rajeshwari Nagar,1 BHK,500,2500000,Urban,Ready To Move
Plot  Area,Whitefield,4 Bedroom,4800,52500000,Urban,Ready To Move
Super built-up  Area,Sarjapur  Road,3 BHK,1984,14600000,Urban,Ready To Move
Plot  Area,Whitefield,4 Bedroom,3000,25000000,Urban,Ready To Move
Super built-up  Area,Garudachar Palya,3 BHK,1960,16000000,Urban,Ready To Move
Super built-up  Area,Sarjapur  Road,2 BHK,1035,4500000,Urban,Ready To Move
Built-up  Area,Vibuthipura,4 Bedroom,2150,8000000,Urban,Ready To Move
Built-up  Area,Whitefield,3 BHK,1700,11500000,Urban,Ready To Move
Super built-up  Area,Hosakerehalli,4 BHK,3024,24800000,Urban,21-Jan
Super built-up  Area,Tumkur Road,3 BHK,1586,10000000,Urban,18-May
Built-up  Area,Hennur,3 Bedroom,2264,15500000,Urban,Ready To Move
Plot  Area,Chikka Tirupathi,4 Bedroom,2325,12000000,Urban,Ready To Move
Super built-up  Area,Yelahanka,2 BHK,1120,5500000,Urban,18-Jun
Super built-up  Area,Yelahanka,3 BHK,1440 - 1884,6798000,Urban,Ready To Move
Super built-up  Area,Sarjapur  Road,2 BHK,1128,5900000,Urban,Ready To Move
Plot  Area,5th Block Hbr Layout,6 Bedroom,1200,25000000,Urban,Ready To Move
Super built-up  Area,Jigani,2 BHK,924,6500000,Rural,Ready To Move
Super built-up  Area,Suraksha Nagar,3 BHK,1600,5200000,Urban,Ready To Move
Super built-up  Area,Pai Layout,2 BHK,1006,3500000,Urban,Ready To Move
Super built-up  Area,Amruthahalli,2 BHK,1200,5500000,Urban,20-Dec
Super built-up  Area,Jalahalli West,2 BHK,1250,6200000,Urban,Ready To Move
Plot  Area,Defence Layout,3 Bedroom,1200,13000000,Urban,Ready To Move
Built-up  Area,Kannamangala,2 BHK,957,5600000,Urban,Ready To Move
Super built-up  Area,Whitefield,2 BHK,1140,4100000,Urban,Ready To Move
Super built-up  Area,Roopena Agrahara,2 BHK,1050,6700000,Urban,Ready To Move
Super built-up  Area,Kasturi Nagar,3 BHK,1565,8850000,Urban,Ready To Move
Super built-up  Area,Whitefield,2 BHK,1190,5700000,Urban,18-Jan
Built-up  Area,Whitefield,3 Bedroom,2842,16200000,Urban,Ready To Move
Built-up  Area,Kanakpura Road,3 BHK,1558.67,6500000,Urban,Ready To Move
Super built-up  Area,Electronics City Phase 1,1 BHK,630,3900000,Urban,Ready To Move
Super built-up  Area,Whitefield,3 BHK,1403,6081000,Urban,Ready To Move
Super built-up  Area,Kanakpura Road,3 BHK,1542,8500000,Urban,Ready To Move
Built-up  Area,Haralur Road,4 Bedroom,2750,22000000,Urban,Ready To Move
Super built-up  Area,Iblur Village,4 BHK,3596,29000000,Urban,Ready To Move
Super built-up  Area,Kengeri Satellite Town,3 BHK,1635,7800000,Urban,Ready To Move
Super built-up  Area,Mysore Road,2 BHK,1239,5300000,Urban,Ready To Move
Super built-up  Area,Haralur Road,2 BHK,1194,4700000,Urban,Ready To Move
Super built-up  Area,Dooravani Nagar,3 BHK,1596,10500000,Urban,17-Nov
Super built-up  Area,Channasandra,2 BHK,1009,3834000,Urban,18-Jul
Super built-up  Area,Hosa Road,3 BHK,1726,8199000,Urban,Ready To Move
Super built-up  Area,Kudlu Gate,3 BHK,1535,8600000,Urban,Ready To Move
Super built-up  Area,Banashankari Stage V,3 BHK,1300,5850000,Urban,Ready To Move
Plot  Area,Whitefield,4 Bedroom,3100,46500000,Urban,Ready To Move
Super built-up  Area,Coconut Garden,3 BHK,1800,8000000,Urban,19-Dec
Super built-up  Area,Binny Pete,1 BHK,665,5075000,Urban,Ready To Move
Plot  Area,Chamrajpet,9 Bedroom,4050,120000000,Urban,Ready To Move
Plot  Area,TC Palaya,3 Bedroom,1500,10000000,Urban,Ready To Move
Built-up  Area,Kalkere,2 BHK,925,4800000,Urban,18-Dec
Super built-up  Area,Old Airport Road,4 BHK,3356,25100000,Urban,Ready To Move
Super built-up  Area,Gollahalli,2 BHK,1395,6359000,Rural,Ready To Move
Super built-up  Area,Sonnenahalli,3 BHK,1415,5500000,Rural,Ready To Move
Super built-up  Area,Begur,3 BHK,1419,5900000,Urban,18-Feb
Super built-up  Area,Kasavanhalli,2 BHK,1121,7800000,Urban,Ready To Move
Super built-up  Area,Kambipura,3 BHK,1082,4500000,Urban,18-Jun
Super built-up  Area,KR Puram,2 BHK,1100,4700000,Urban,Ready To Move
Super built-up  Area,Hoodi,3 BHK,1606,8955000,Urban,Ready To Move
Built-up  Area,Billekahalli,3 BHK,1650,8800000,Urban,Ready To Move
Super built-up  Area,D Souza Layout,3 BHK,4634,101500000,Urban,Ready To Move
Super built-up  Area,Old Airport Road,2 BHK,1206,7500000,Urban,Ready To Move
Built-up  Area,Sarjapur  Road,3 BHK,1495,6400000,Urban,Ready To Move
Plot  Area,Malleshwaram,8 Bedroom,840,19500000,Urban,Ready To Move
Super built-up  Area,Electronic City,2 BHK,710,1600000,Urban,Ready To Move
Super built-up  Area,Balagere,2 BHK,1210,7200000,Urban,Ready To Move
Super built-up  Area,Nagarbhavi,3 BHK,1523,5340000,Urban,Ready To Move
Super built-up  Area,Whitefield,2 BHK,1232,4500000,Urban,20-Aug
Super built-up  Area,Rachenahalli,1 BHK,680,4400000,Urban,19-Dec
Super built-up  Area,Hebbal,3 BHK,1355,8387000,Urban,Ready To Move
Super built-up  Area,Thanisandra,3 BHK,1430,5146000,Urban,18-Jun
Super built-up  Area,Kothannur,3 BHK,1275,4385000,Urban,Ready To Move
Super built-up  Area,Electronic City,2 BHK,1070,5610000,Urban,Ready To Move
Plot  Area,Bettahalsoor,3 Bedroom,1200,8500000,Rural,Ready To Move
Plot  Area,Electronic City,4 Bedroom,2000,12000000,Urban,Ready To Move
Super built-up  Area,Bommanahalli,2 BHK,1200,4000000,Urban,Ready To Move
Super built-up  Area,Marathahalli,3 BHK,1610,9000000,Urban,Ready To Move
Super built-up  Area,Haralur Road,2 BHK,1140,4300000,Urban,Ready To Move
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1143,3865000,Urban,22-May
Super built-up  Area,Jakkur,4 BHK,3467.86,24900000,Urban,Ready To Move
Super built-up  Area,Rachenahalli,3 BHK,1530,7440000,Urban,Ready To Move
Super built-up  Area,7th Phase JP Nagar,2 BHK,980,6900000,Urban,Ready To Move
Super built-up  Area,Whitefield,3 BHK,1485,6500000,Urban,18-May
Plot  Area,Whitefield,3 Bedroom,1500,13000000,Urban,18-Oct
Super built-up  Area,Whitefield,2 BHK,1280,7500000,Urban,Ready To Move
Super built-up  Area,Thanisandra,2 BHK,1265,8500000,Urban,20-Dec
Built-up  Area,"ECC Road, Whitefield, ",2 BHK,1132,6700000,Urban,Ready To Move
Super built-up  Area,Ashwath Nagar,2 BHK,1262,6300000,Urban,Ready To Move
Super built-up  Area,JP Nagar,2 BHK,940,4900000,Urban,Ready To Move
Super built-up  Area,Seetharampalya,3 BHK,1515,8800000,Urban,Ready To Move
Super built-up  Area,Jigani,3 BHK,1300,15000000,Rural,Ready To Move
Built-up  Area,Kothanur,3 Bedroom,1840,6900000,Urban,Ready To Move
Built-up  Area,Electronic City,2 BHK,890,4500000,Urban,Ready To Move
Super built-up  Area,Rukmaiah Layout,3 BHK,1655,8606000,Urban,Ready To Move
Super built-up  Area,Hennur Road,3 BHK,2060,14900000,Urban,Ready To Move
Super built-up  Area,Bommanahalli,3 BHK,1730,9600000,Urban,Ready To Move
Built-up  Area,Yelahanka,3 BHK,2195,12700000,Urban,18-Mar
Super built-up  Area,Kathriguppe,3 BHK,1650,12500000,Urban,Ready To Move
Plot  Area,KR Puram,2 Bedroom,1200,7100000,Urban,18-May
Super built-up  Area,Hosa Road,2 BHK,1079,3237000,Urban,19-Oct
Super built-up  Area,Panathur,2 BHK,1085,3600000,Urban,Ready To Move
Built-up  Area,Maruthi Sevanagar,7 Bedroom,5000,29900000,Urban,Ready To Move
Super built-up  Area,Yelahanka,2 BHK,1075,5150000,Urban,18-May
Super built-up  Area,Devanahalli Int. Airport,2 BHK,1380,8000000,Urban,Ready To Move
Super built-up  Area,Puttanahalli,3 BHK,1450,6500000,Urban,Ready To Move
Super built-up  Area,Thubarahalli,2 BHK,1200,7800000,Urban,Ready To Move
Super built-up  Area,Benson Town,3 BHK,3200,35000000,Urban,21-Jul
Super built-up  Area,Hoodi,3 BHK,1639,9832000,Urban,Ready To Move
Super built-up  Area,Jakkuru Layout,2 BHK,1200,5400000,Urban,21-Jun
Super built-up  Area,Vijayanagar,3 BHK,1739,11600000,Urban,Ready To Move
Built-up  Area,Palanahalli,4 Bedroom,4346,50000000,Rural,20-Dec
Super built-up  Area,Old Madras Road,2 BHK,935,3272000,Urban,21-Nov
Super built-up  Area, Thanisandra,1 RK,510,2525000,Urban,Ready To Move
Plot  Area,Devasandra Extension,6 Bedroom,1200,18000000,Urban,Ready To Move
Super built-up  Area,Nagondanahalli,2 BHK,1178,4700000,Urban,Ready To Move
Built-up  Area,Chikkalasandra,3 BHK,1375,5000000,Urban,Ready To Move
Super built-up  Area,Chandapura,3 BHK,1065,3300000,Rural,Ready To Move
